id,name,post_code,country,lat,lon
133,Berlin,13591,Germany,52.5500945822244,13.2003562380982
134,Berlin,13593,Germany,52.52468,13.40535
135,Berlin,13595,Germany,52.52468,13.40535
136,Berlin,13597,Germany,52.5500945822244,13.2003562380982
137,Berlin,13587,Germany,52.5500945822244,13.2003562380982
138,Berlin,13589,Germany,52.52468,13.40535
139,Berlin,13581,Germany,52.5500945822244,13.2003562380982
140,Berlin,13583,Germany,52.52468,13.40535
141,Berlin,13585,Germany,52.5500945822244,13.2003562380982
142,Berlin,12359,Germany,52.52468,13.40535
143,Berlin,12357,Germany,52.52468,13.40535
144,Berlin,12355,Germany,52.52468,13.40535
145,Berlin,12353,Germany,52.52468,13.40535
146,Berlin,12351,Germany,52.52468,13.40535
147,Berlin,12349,Germany,52.52468,13.40535
148,Berlin,12347,Germany,52.52468,13.40535
149,Berlin,12307,Germany,52.44763,13.38535
150,Berlin,12305,Germany,52.44763,13.38535
151,Berlin,12309,Germany,52.44763,13.38535
152,Berlin,13629,Germany,52.5500945822244,13.2003562380982
153,Berlin,13627,Germany,52.497058,13.29649
154,Berlin,10965,Germany,52.5015,13.43512
155,Berlin,10963,Germany,52.5015,13.43512
156,Berlin,10961,Germany,52.5015,13.43512
157,Berlin,10969,Germany,52.5015,13.43512
158,Berlin,10967,Germany,52.5015,13.43512
159,Berlin,10997,Germany,52.5015,13.43512
160,Berlin,10999,Germany,52.5015,13.43512
161,Berlin,10711,Germany,52.497058,13.29649
162,Berlin,10719,Germany,52.497058,13.29649
163,Berlin,10717,Germany,52.497058,13.29649
164,Berlin,10715,Germany,52.497058,13.29649
165,Berlin,10713,Germany,52.497058,13.29649
166,Berlin,10709,Germany,52.497058,13.29649
167,Berlin,10707,Germany,52.497058,13.29649
168,Berlin,10789,Germany,52.44763,13.38535
169,Berlin,10787,Germany,52.44763,13.38535
170,Berlin,10785,Germany,52.52468,13.40535
171,Berlin,10783,Germany,52.44763,13.38535
172,Berlin,10781,Germany,52.44763,13.38535
173,Berlin,10777,Germany,52.44763,13.38535
174,Berlin,10779,Germany,52.44763,13.38535
175,Berlin,10829,Germany,52.44763,13.38535
176,Berlin,10827,Germany,52.44763,13.38535
177,Berlin,10825,Germany,52.44763,13.38535
178,Berlin,10823,Germany,52.44763,13.38535
179,Berlin,10589,Germany,52.497058,13.29649
180,Berlin,10587,Germany,52.497058,13.29649
181,Berlin,10585,Germany,52.497058,13.29649
182,Berlin,10557,Germany,52.52468,13.40535
183,Berlin,10555,Germany,52.52468,13.40535
184,Berlin,10553,Germany,52.52468,13.40535
185,Berlin,10551,Germany,52.52468,13.40535
186,Berlin,10559,Germany,52.52468,13.40535
187,Berlin,10623,Germany,52.497058,13.29649
188,Berlin,10629,Germany,52.497058,13.29649
189,Berlin,10627,Germany,52.497058,13.29649
190,Berlin,10625,Germany,52.497058,13.29649
191,Hamburg,20038,Germany,53.554423,9.994583
192,Hamburg,22111,Germany,53.554423,9.994583
193,Hamburg,22113,Germany,53.54221,10.16569
194,Hamburg,22119,Germany,53.554423,9.994583
195,Hamburg,22115,Germany,53.554423,9.994583
